legacy_id	article	receipt_name	group
266	Ч75.2,Ч54	"Комплект з двох чокерів: у чорному кольорі з кулоном та японського бісеру"	"3 группа"
267	С61	"Сережки-трансформери зі з'ємними підвісками"	"2 группа"
268	Ч36,С86	"Комбінований ніжний чокер та сережки"	"2 группа"
269	Ч101.2С,С8	"Комплект з блискучого чокеру у срібному кольорі та сережок"	"2 группа"
27	К1	"Кольє з білим серцем"	"3 группа"
271	Ц903,Б903,С903	"Комплект з ланцюжка у стилі біколор"	"2 группа"
275	КО.К22	"Комплект: кольє з ланцюжком, сережки та браслет"	"3 группа"
278	Ч18	"Вишуканий ніжний чокер"	"3 группа"
279	КО.Ч23	"Комплект: комбінований чокер, сережки та браслет"	"3 группа"
28	К11	"Кольє з акцентною застібкою"	"3 группа"
29	К12	"Кольє з акцентною застібкою"	"3 группа"
300	С95	Сережки-трансформери	"2 группа"
302		"Набір прикрас"	"3 группа"
304	А100	"Тендітний анклет"	"2 группа"
305	А96	"Акцентний анклет з серцем"	"2 группа"
306	А76.1	"Мінімалістичний анклет з ланцюжка"	"2 группа"
308	А44	"Сяючий анклет у чорному кольорі"	"3 группа"
309	А43	"Блискучий анклет у золотому кольорі"	"3 группа"
310	А43С	"Блискучий анклет у срібному кольорі"	"3 группа"
311	R3.1	"Каблучка з серцем"	"3 группа"
313	Б22.0С	"Браслет з серцем"	"3 группа"
314		"Набір прикрас"	"3 группа"
316	А-22.0С	"Анклет з серцем"	"3 группа"
317	А12.1	"Анклет на ніжку"	"3 группа"
318	А99	"Комбінований анклет"	"3 группа"
32	Ч3	"Чокер з Вашою літерою"	"3 группа"
320	Б44	"Браслет з сяючого чорного каміння"	"3 группа"
321	К60	"Кольє з  ланцюжком та кулоном із застібкою тогл"	"3 группа"
323	Ч2.25	"Кольє з імітацією краватки"	"3 группа"
325	С25	Сережки-транформери	"2 группа"
326	С66	"Сережки космічні сонця"	"2 группа"
327	Ч36	"Комбінований стильний чокер з серцями"	"3 группа"
328	Б96	"Браслет з серцем"	"2 группа"
329	СО.Т	"Базові сережки"	"2 группа"
330	СО.Іл	"Базові сережки"	"2 группа"
331	Б87	"Комбінований багатошаровий браслет"	"3 группа"
332	С339	"Сережки з англійською застібкою"	"2 группа"
333	Б6	"Браслет у ліловому кольорі"	"3 группа"
334	С62	"Вишукані сережки з білими серцями"	"2 группа"
335	Ц-7,С31.0,Б72	"Комплект з ланцюжка"	"2 группа"
336	Б94	"Подвійний браслет з вкрапленням"	"3 группа"
339		"Набір прикрас"	"3 группа"
341		"Набір прикрас"	"3 группа"
342	К55.2	"Кольє з блискучих камінців з кулоном"	"2 группа"
