legacy_id	article	receipt_name	group
708	Б118.2	"Браслет з японського бісеру"	"3 группа"
709	"Ч135, Ч80"	"Комплект з двох чокерів: у зеленому кольорі та японського бісеру з  кулоном"	"3 группа"
71	Ч77	"Сяючий чокер у золотаво-коричневому кольорі"	"3 группа"
710	С154.1	"Сережки гвіздочки з ланцюжками"	"3 группа"
711	Ч156.1	"Чокер з квіткою"	"2 группа"
712	С156.1	"Сережки з білими квітами"	"2 группа"
713	К175	"Кольє з квіткою"	"2 группа"
714	"Ч169, Ч169.1"	"Комплект з двох чокерів"	"3 группа"
715	К100.2	"Кольє з серцем"	"2 группа"
719	К162	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
72	Ч23	"Вишуканий комбінований чокер"	"3 группа"
720	Б162С	"Комбінований браслет з ланцюжками"	"2 группа"
721	"Ц9, С9.1"	Ланцюжок-краватка	"2 группа"
722	К171	"Комбіноване кольє з серцем"	"3 группа"
723	"К171, С107.3"	"Комплект з серцями"	"2 группа"
724	К185	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
725	С185	"Сережки з серцями"	"2 группа"
726	К169	"Комбіноване кольє з ланцюжками"	"2 группа"
727	"С186С, С187С"	"Сережки акцентні гвіздочки та кафа"	"2 группа"
728	К162	"Комбіноване кольє з ланцюжками та кулоном"	"3 группа"
729	К114	"Кольє з цікавим з'ємним ланцюжком"	"2 группа"
73	С8	Сережки	"2 группа"
730	Ц55	"Стильна краватка з серцем"	"2 группа"
731	Ц9	Ланцюжок-краватка	"2 группа"
732	Ч161	"Вишукане кольє з серцем"	"2 группа"
733	Ч139	"Вишуканий чокер з сонцем"	"2 группа"
734	С222.1	"Романтичні сережки серця"	"2 группа"
735	К184	"Комбіноване кольє з ланцюжками"	"3 группа"
736	К188	"Стильне кольє з ланцюжками"	"3 группа"
737	К162.2С	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
738	С55.4С	"Сережки з серцями"	"2 группа"
739	Б162.2С	"Комбінований браслет з ланцюжками"	"2 группа"
74	С21	"Сережки гвіздочки"	"3 группа"
740	Ц187	"Ланцюжок-краватка з лунницями"	"2 группа"
741	Ч124.4	"Сяючий чокер з лунницею"	"2 группа"
742	С52.1	"Вишукані сережки"	"2 группа"
743	К55	"Сяюче кольє з сонцем"	"3 группа"
744	С206	"Витончені сережки"	"3 группа"
745	Б206	"Різнобарвний браслет"	"3 группа"
746	К177	"Кольє з акцентною застібкою та кулоном"	"2 группа"
747	Б21.0	"Ніжний браслет"	"3 группа"
748	Б21.1	"Браслет з Вашою літерою"	"3 группа"
749	С184	Сережки-транформери	"2 группа"
75	Ц24.2	"Тендітний вкорочений  ланцюжок"	"3 группа"
750	К191.2	"Стильне кольє з ланцюжками"	"3 группа"
751	Ц215.С	"Ланцюжок-краватка біколор"	"2 группа"
752	R209	"Акцентна каблучка біколор з ювелірної сталі"	"2 группа"
753	Ц205	"Довгий ланцюжок"	"3 группа"
757	Ц116С	Ланцюжок-краватка	"2 группа"
758	Ц117	"Акцентний ланцюжок"	"2 группа"
76	Ц24.1	"Витончений ланцюжок краватка"	"3 группа"
760	Ц10	"Стильне блискуче кольє"	"2 группа"
761	Ц14	"Витончене кольє"	"3 группа"
762	С157.5С	"Сережки з конюшинами"	"2 группа"
763	С157.5	"Сережки з конюшинами"	"2 группа"
764	С157.4	"Сережки вишні"	"2 группа"
765	С4	"Сережки подовжені з ланцюжками"	"2 группа"
766	Ц53	"Ланцюжок з кулоном"	"2 группа"
767	ЧШ15	"Чорний шнур з кулоном"	"2 группа"
768	С136.С	"Сережки вишні"	"3 группа"
77	С21	"Довгі сережки з ланцюжка"	"3 группа"
774	Ч218	"Сяючий чокер з серцем"	"2 группа"
775	К201	"Стильне подвійне кольє"	"3 группа"
776	С81.2	"Подовжені  сережки у червоному кольорі"	"3 группа"
777	С56	"Сережки сонця"	"2 группа"
778	С135.2	"Асиметричні сережки"	"3 группа"
779	С135.1	"Асиметричні сережки"	"3 группа"
780	Ч80	"Чокер у  зеленому кольорі"	"3 группа"
781	БР1	Булавка	"3 группа"
782	БР2	Булавка	"2 группа"
783	БР4	Булавка	"2 группа"
784	БР3	Булавка	"2 группа"
785	БР5С	Булавка	"3 группа"
786	БР8	Булавка	"2 группа"
787	БР9	Булавка	"2 группа"
788	БР6	Булавка	"3 группа"
789	БР1С	Булавка	"3 группа"
79	Ц8	"Кольє з ланцюжка"	"2 группа"
790	БР5	Булавка	"3 группа"
791	БР10	Булавка	"3 группа"
792	Б162	"Комбінований браслет з ланцюжками"	"2 группа"
793	Б125	"Браслет блакитного кольору"	"2 группа"
794	К185.1	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
795	С185.1	"Сережки з серцями"	"2 группа"
796	К253	"Комбіноване кольє з ланцюжками"	"3 группа"
797	С169	Сережки-гвіздочки	"2 группа"
798	К163	"Комбіноване кольє з серцем"	"2 группа"
799	К100.5	"Кольє з серцем"	"2 группа"
80	С47	"Сережки серця"	"2 группа"
800	К100.2С	"Кольє з серцем"	"2 группа"
801	К187	"Стильне кольє з ланцюжками"	"3 группа"
802	К222	"Кольє з квіткою"	"2 группа"
803	С156	"Сережки з рожевими квітами"	"2 группа"
804	К222.1	"Кольє з сонцем"	"2 группа"
805	К131	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
806	К164	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
807	К162.4С	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
808	К223С	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
809	К162.5	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
810	К204	"Кольє з акцентним кулоном"	"2 группа"
811	С55.2	"Сережки кола"	"2 группа"
812	К193	"Кольє у чарівному синьому кольорі"	"3 группа"
813	С193	"Сережки з серцями"	"2 группа"
814	К169С	"Комбіноване кольє з ланцюжками"	"2 группа"
815	С169С	Сережки-гвіздочки	"2 группа"
816	К105.1	"Комбіноване кольє у зеленому кольорі з ланцюжками"	"2 группа"
817	К154	"Сяюче кольє з сонцем"	"3 группа"
818	К86С	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
819	С98С	Сережки-трансформери	"2 группа"
820	К111	"Кольє з відбірного прозорого кришталю з двостороннім кулоном"	"2 группа"
821	с111	"Сережки-трансформери з двосторонніми підвісками"	"2 группа"
822	К100.3	"Кольє з горлицею"	"2 группа"
823	К257	"Кольє з акцентним кулоном"	"2 группа"
824	К162.1С	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
825	К162.6	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
826	К12.2	"Кольє з акцентною застібкою"	"3 группа"
827	С18	"Витончені сережки"	"3 группа"
828	К100.6	"Кольє з акцентною застібкою та кулоном"	"2 группа"
829	К202.10	"Кольє з акцентною застібкою та кулоном"	"2 группа"
83	Ч2.0	"Вишуканий чокер з серцем"	"3 группа"
831	К202.5	"Кольє з акцентною застібкою та кулоном"	"2 группа"
832	К166	"Кольє з акцентною застібкою та кулоном"	"2 группа"
833	К227	"Кольє з акцентною застібкою та кулоном"	"2 группа"
834	К224	"Кольє з сонцем"	"2 группа"
835	С227	Сережки-гвіздочки	"2 группа"
836	К115.1	"Кольє з Вашою літерою"	"2 группа"
837	К257.1	"Кольє з акцентним кулоном"	"2 группа"
838	К341	"Кольє з квіткою"	"2 группа"
839	Ч1010	"Кольє з акцентним кулоном"	"2 группа"
84	С8.С	Сережки	"2 группа"
840	Б140	"Витончений браслет"	"2 группа"
841	Ч160	"Яскравий чокер з лунницею"	"3 группа"
842	Б160	"Вишуканий яскравий браслет"	"3 группа"
843	С160.1	"Сережки гвіздочки"	"3 группа"
844	Ч209	"Сяючий чокер з лунницею"	"2 группа"
845	С209	"Сережки гвіздочки"	"2 группа"
846	К194	"Сяюче кольє з сонцем"	"3 группа"
847	К98	"Кольє  з ланцюжками та кулоном"	"2 группа"
848	С95.3	Сережки-трансформери	"2 группа"
849	К114.С	"Кольє з цікавим з'ємним ланцюжком"	"2 группа"
85	Ч101.2С	"Блискучий чокер у срібному кольорі з кулоном"	"3 группа"
850	Ч133	"Сяючий чокер з серцем"	"2 группа"
851	Ч160.2	"Чокер у  зеленому кольорі з кулоном"	"3 группа"
852	Ч127	"Подвійне сяюче кольє"	"2 группа"
853	С153	"Сережки гвіздочки"	"2 группа"
854	Ч82.1.1	"Чокер з літерою"	"3 группа"
855	Ч252	"Сяючий чокер з зіркою"	"2 группа"
856	К329	"Кольє з Вашою літерою"	"2 группа"
857	Ц219	"Ланцюжок-краватка з серцем"	"2 группа"
858	Ч1	"Вишуканий ніжний чокер"	"3 группа"
859	Б24	"Браслет з японського бісеру"	"3 группа"
860	Ц11	"Кольє з ланцюжків біколор"	"2 группа"
861	К333	"Комбіноване кольє з квіткою"	"3 группа"
862	С333	Сережки-трансформери	"3 группа"
863	К312	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
864	С312	Сережки-трансформери	"2 группа"
865	Ц230С	"Кольє з акцентною застібкою"	"2 группа"
866	Б230С	"Браслет з акцентною застібкою"	"2 группа"
867	Б93С	"Браслет з невидимою застібкою"	"2 группа"
868	Ч155	"Ніжний чокер на прозорій основі"	"2 группа"
869	К203С	"Кольє у зеленому кольорі з серцем"	"3 группа"
87	Ц903	"Кольє біколор з акцентного ланцюжка"	"2 группа"
870	К202	"Кольє з акцентною застібкою"	"2 группа"
872	К137	"Кольє з ланцюжком та акцентним кулоном"	"3 группа"
873	К171.2	"Комбіноване кольє з кулоном"	"3 группа"
874	Ц211	"Трендовий ланцюжок з кульками"	"2 группа"
875		"Подарунковий пакет"	"2 группа"
876	К72	"Вишукане кольє"	"2 группа"
877	К202.9	"Кольє з акцентною застібкою та кулоном"	"2 группа"
878	К202.2	"Кольє з акцентною застібкою та кулоном"	"2 группа"
879	К175.4	"Кольє з серцем"	"2 группа"
88	Б903.1	"Браслет біколор з акцентного ланцюжка"	"2 группа"
880	К175.2	"Кольє з квіткою"	"2 группа"
881	К202.8	"Кольє з акцентною застібкою та кулоном"	"2 группа"
883	ЧШ5.2	"Червоний шнур з кулоном серце"	"2 группа"
884	Ц21.0	"Ланцюжок з кулоном"	"2 группа"
885	Ц167	"Вкорочений ланцюжок з серцями"	"2 группа"
886	К292	"Кольє з серцем"	"2 группа"
887	Ц16	"Ланцюжок з кулоном"	"2 группа"
888	С113	"Сережки серця"	"2 группа"
889	Ц58	"Тендітна блискуча краватка"	"2 группа"
89	С903.1	"Сережки біколор"	"2 группа"
890	Ч181	"Сяюча основа чокер"	"2 группа"
891	Ч181С	"Сяюча основа чокер"	"2 группа"
892	СХІТ.С	"Сережки зі зйомними звенами"	"2 группа"
893	С252	"Сережки зірки"	"2 группа"
894	К170С	"Кольє з сонцем"	"2 группа"
895	Ч115.8	"Чокер з акцентом на прозорій основі"	"2 группа"
896	К255	"Кольє з акцентним кулоном"	"2 группа"
897	К120	"Комбіноване кольє з ланцюжками"	"2 группа"
898	С120	"Сережки з серцями"	"2 группа"
900	К289	"Комбіноване прозоре кольє з ланцюжками та пташкою"	"2 группа"
901	К171.3	"Комбіноване кольє з квіткою"	"2 группа"
902	Б312	"Браслет з квіткою"	"2 группа"
903	Б201	"Вишуканий яскравий браслет"	"3 группа"
904	Б40	"Вишуканий браслет"	"2 группа"
905	Ч302	"Вишукане кольє"	"2 группа"
906	Ц215	Ланцюжок-краватка	"2 группа"
907	Ц257С	Ланцюжок-краватка	"2 группа"
908	Ц314	"Витончений ланцюжок-краватка"	"3 группа"
909	С314	"Сережки гвіздочки з ланцюжками"	"3 группа"
910	Ц184	"Подвійний ланцюжок з серцями"	"2 группа"
911	Ч316	"Ніжний чокер з вставками"	"3 группа"
912	Б316	"Ніжний браслет"	"3 группа"
913	С15	"Витончені сережки"	"3 группа"
914	БР17С	"Вишукана подвійна булавка"	"2 группа"
915	БР11С	"Булавка з серцем"	"2 группа"
916	БР14С	"Булавка з вашою літерою"	"2 группа"
917	БР14	"Булавка з вашою літерою"	"2 группа"
918	Б310С	"Акцентний браслет з ланцюжками"	"2 группа"
919	Б291	"Стильний браслет космічного кольору"	"2 группа"
920	Б45	"Браслет зеленого кольору"	"3 группа"
921	С81.6	"Подовжені  сережки у зеленому кольорі"	"3 группа"
922	Ц22.КП	"Вишуканий ланцюжок краватка"	"3 группа"
923	Б323	"Ніжний браслет"	"3 группа"
924	С21.КП	"Сережки гвіздочки з ланцюжками"	"3 группа"
925	Б18.1	"Браслет з японського бісеру"	"3 группа"
926	Б22	"Ніжний браслет з серцем"	"3 группа"
927	R3	"Каблучка з кулькою срібного кольору"	"3 группа"
928	БР17	"Вишукана подвійна булавка"	"2 группа"
929	К400С	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
930	К402	"Кольє з сонцем"	"2 группа"
931	Б320	"Браслет з Вашою літерою"	"2 группа"
932	К419	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
933	"К70С, С95.2"	"Стильний комплект з серцями"	"2 группа"
934	"К162С, С107.3"	"Комплект: кольє з ланцюжками та сережки"	"2 группа"
935	Ч334	"Ніжний блискучий чокер"	"3 группа"
936	С357	"Сережки гвіздочки"	"3 группа"
937	Ч326	"Чокер у білому кольорі з лунницею"	"2 группа"
938	К415	"Кольє з серцем"	"2 группа"
939	К334	"Комбіноване кольє з колоском"	"3 группа"
94	К7	"Кольє у ліловому кольорі з сонцем"	"3 группа"
940	К431	"Комбіноване кольє з ланцюжками та кулоном"	"2 группа"
941	К428	"Комбіноване кольє у блакитному кольору"	"2 группа"
943	К423	"Ніжне кольє"	"3 группа"
944	К421	"Сяюче кольє з сонцем"	"3 группа"
945	Ч323С	"Сяючий чокер у срібному кольорі з колом"	"3 группа"
946	Ч427	"Чокер з лунницею"	"3 группа"
947	Б218	"Витончений браслет з серцем"	"2 группа"
948	Б334	"Браслет з ніжним акцентом"	"3 группа"
949	Б319	"Браслет з колоском"	"2 группа"
950	Ч426	"Сяючий чокер"	"2 группа"
951	Ц263	"Ланцюжок з кулоном"	"2 группа"
98	Б59	"Сяючий браслет"	"3 группа"
99	Б25	"Браслет з японського бісеру"	"2 группа"
